#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution contemp="true" id="BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous" spec="bdsky.evolution.speciation.BirthDeathSkylineModel">
#            <parameter id="origin_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous" lower="0.0" name="origin" spec="beast.base.inference.parameter.RealParameter" upper="Infinity">1000.0</parameter>
#            <parameter id="rho_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous" lower="0.0" name="rho" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.01</parameter>
#            <parameter dimension="10" id="reproductiveNumber_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous" lower="0.0" name="reproductiveNumber" spec="beast.base.inference.parameter.RealParameter" upper="Infinity">2.0</parameter>
#            <parameter id="becomeUninfectiousRate_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous" lower="0.0" name="becomeUninfectiousRate" spec="beast.base.inference.parameter.RealParameter" upper="Infinity">1.0</parameter>
#            <parameter estimate="false" id="samplingProportion_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous" name="samplingProportion" spec="beast.base.inference.parameter.RealParameter">0.0</parameter>
#            <tree id="Tree.t:InfluenzaAH3N2_HAgene_2009_California_homochronous" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.InfluenzaAH3N2_HAgene_2009_California_homochronous" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="becomeUninfectiousRatePrior_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous" name="distribution" x="@becomeUninfectiousRate_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous">
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="M" spec="beast.base.inference.parameter.RealParameter">0.0</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="S" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="originPrior_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous" name="distribution" x="@origin_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous">
#            <Uniform id="Uniform.3" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="reproductiveNumberPrior_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous" name="distribution" x="@reproductiveNumber_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.7" name="M" spec="beast.base.inference.parameter.RealParameter">0.0</parameter>
#                <parameter estimate="false" id="RealParameter.8" name="S" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="rhoPrior_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous" name="distribution" x="@rho_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous">
#            <LogNormal id="LogNormalDistributionModel.2" meanInRealSpace="true" name="distr">
#                <parameter estimate="false" id="RealParameter.11" name="M" spec="beast.base.inference.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.12" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@InfluenzaAH3N2_HAgene_2009_California_homochronous" id="treeLikelihood.InfluenzaAH3N2_HAgene_2009_California_homochronous" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:InfluenzaAH3N2_HAgene_2009_California_homochronous">
#            <siteModel id="SiteModel.s:InfluenzaAH3N2_HAgene_2009_California_homochronous" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:InfluenzaAH3N2_HAgene_2009_California_homochronous" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:InfluenzaAH3N2_HAgene_2009_California_homochronous" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:InfluenzaAH3N2_HAgene_2009_California_homochronous" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:InfluenzaAH3N2_HAgene_2009_California_homochronous" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:InfluenzaAH3N2_HAgene_2009_California_homochronous" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:InfluenzaAH3N2_HAgene_2009_California_homochronous" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	BDSKY_Contemp	origin_BDSKY_Contemp	rho_BDSKY_Contemp	becomeUninfectiousRate_BDSKY_Contemp	reproductiveNumber_BDSKY_Contemp.1	reproductiveNumber_BDSKY_Contemp.2	reproductiveNumber_BDSKY_Contemp.3	reproductiveNumber_BDSKY_Contemp.4	reproductiveNumber_BDSKY_Contemp.5	reproductiveNumber_BDSKY_Contemp.6	reproductiveNumber_BDSKY_Contemp.7	reproductiveNumber_BDSKY_Contemp.8	reproductiveNumber_BDSKY_Contemp.9	reproductiveNumber_BDSKY_Contemp.10
0	-15025.664918445953	-13906.715598031245	-1118.9493204147084	-13906.715598031245	1.828736654466659	7.94452956065118	-1099.9271353338854	1000.0	0.01	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
1000	-6086.160671587371	-5976.558775795739	-109.6018957916323	-5976.558775795739	0.2570548361751916	1.6783358844545941	-97.32100628332189	285.5670312584691	0.01817529825251674	2.1389168151603877	0.9210311616209833	0.8195890254731242	0.9266923554187474	1.0443843966673012	1.2470159295226184	0.9295973579745569	0.8120048636062325	1.2575974209109257	0.8714267147963686	0.822370240065991
2000	-4263.756001353621	-4187.305724410235	-76.45027694338665	-4187.305724410235	0.11157482372062615	0.6477358536957424	-60.36534114257623	134.81187879614353	0.04039352647309375	3.284231349121535	1.053573765615338	0.9488175604871532	0.9176675531923494	0.8809597028875541	1.0448825524940881	0.9491588135185111	0.8963977828433333	1.2865807511578407	0.8222249197155448	0.925828211552112
3000	-3480.857397705198	-3447.6536474941167	-33.20375021108123	-3447.6536474941167	0.04666807533212072	0.27230942328632346	-11.363204638277587	53.69281695586614	0.07515755629380791	9.649912729751257	0.9899073474561642	1.0900658061132382	1.1758327253613847	0.9835287293305737	1.0647199734675585	0.8276065313390144	0.9067875658364022	1.2907264626973105	0.6387660080707649	1.0371148412430762
4000	-3227.4108530013523	-3226.02176990024	-1.3890831011123588	-3226.02176990024	0.020154138724333706	0.13932512063902147	26.213015545115425	28.539853809916615	0.17665421564677214	16.224932264281104	1.109998736931786	1.22694190803631	0.9474199128019964	1.0950410520089446	0.9284890208050895	0.8378447411532898	0.9048399543965469	1.3415729263362055	0.5970870196284594	1.062591782731553
5000	-3154.339426611642	-3170.5974412015416	16.258014589899638	-3170.5974412015416	0.01443684031756842	0.10892368240981529	48.368482306595034	19.481774330790607	0.3713618543526903	19.774273980772747	0.8066266080623212	1.385598622587932	0.6640469138829119	1.0977719209476795	0.9564819166523394	0.8889088785088354	0.942915937545546	1.3820198356231415	0.6012045946172406	1.3138910223535427
6000	-3104.9197993286466	-3153.214832382015	48.29503305336854	-3153.214832382015	0.01227944771793114	0.0944533121306033	86.8391701382335	9.26736117670302	0.926752577722269	31.372983127896596	0.7292828680996802	1.1534612114219966	0.551212791578835	1.0880357981516882	1.1403069194651019	0.7661663870264808	0.8830561785300203	1.3491688497004994	0.6032424987398419	1.1248608370377045
7000	-3095.622280142849	-3149.7670656275322	54.14478548468342	-3149.7670656275322	0.012283339130254497	0.0983964384664673	94.4202631842321	5.216377832653453	0.9721498055683632	39.470827895338026	0.5689982894170085	1.4217721584991645	0.44392627273439556	1.6364895774189938	1.1261914519648595	0.5302464512927321	0.7787895503450836	1.209392907434262	0.4384016181205676	1.5185174494705223
8000	-3074.071263602265	-3134.612112391005	60.54084878874015	-3134.612112391005	0.010624696775004404	0.08062263111526305	100.73711320316589	3.3715281872115623	0.8503456854906452	52.41075698389576	0.41194753026502956	0.9817264727813917	0.43004351715843814	1.1907058887073247	1.2878533431316639	0.5527281905680409	1.0731411140545535	1.1154346850322252	0.46773566686508145	1.4148000799999334
9000	-3060.8452305261258	-3132.399380296286	71.55414977016004	-3132.399380296286	0.0094769378021708	0.08272227935282066	115.84337717042821	1.3820346729848976	0.9773464962138414	91.56275815821287	0.4583735631552668	1.1992629792395368	0.5223660233632201	1.3141856367112053	0.8177717840241058	1.0675266351999115	1.503042836785958	0.5551811427966822	0.35223303850495	1.4916093214724093
10000	-3042.6499928058515	-3118.094957815332	75.44496500948046	-3118.094957815332	0.0095234601100983	0.08057584284782415	120.69347726280432	0.8910714867066802	0.8535741406775358	128.77201609737665	0.8744774462057708	0.5531549158978325	0.6474807669180734	1.837733993226793	0.8710580941525086	1.3625845309211893	0.3927685833440226	0.4060614278744126	0.4434481330355664	1.7159838344810603
11000	-3028.974228168111	-3108.955122034457	79.98089386634607	-3108.955122034457	0.0076123741674763755	0.07198949479823198	124.9211735893674	0.4897818915048765	0.9241037708952273	119.654859894455	0.6493851783692506	0.4724704258331027	0.7379964347250246	0.9639920412821352	1.1368028242185673	1.406545672325175	0.24238747919850792	0.5171661058538113	0.7898337509934521	1.6585057924252689
12000	-3016.8933502884197	-3101.7184315450036	84.82508125658372	-3101.7184315450036	0.005938117449625574	0.06423312819401668	131.29292891839182	0.2831580718847612	0.753720015948285	108.75626651651855	0.36007015229894185	0.9380743442070061	1.5404492504772178	1.2315223499893349	1.3139242540224731	0.9028592502206968	0.2552150312304742	0.5782107773018369	0.8754113381094667	4.8252515047712174
13000	-2996.96042795845	-3095.354932551649	98.39450459319919	-3095.354932551649	0.004611565534024757	0.060523927931677164	142.45565841748396	0.07893658686115822	0.561734064326319	38.905634160405285	0.8798333548780296	0.550873638925136	1.7756485903513275	2.7049740433567395	0.9534457799468571	0.7597373189396397	0.31393658596570617	0.5033007706585589	1.2458388969515157	14.011497426003162
14000	-2978.5881575215803	-3087.073299834128	108.48514231254777	-3087.073299834128	0.005137818668462784	0.04824285780225926	147.57565008294867	0.060247485385735676	0.20331091027581458	66.93409430371975	0.24058070282647123	0.6920079328866645	1.2816524418181567	1.049384625364098	0.6046843851493764	0.20471707202836478	0.1426548922516493	0.28147494781036664	0.5641221406341618	15.566662290356252
15000	-2973.493836806439	-3089.8959416647504	116.40210485831145	-3089.8959416647504	0.003416637765006084	0.04265139633614082	157.67516184627235	0.039006329774628284	0.07318047557263443	23.253592495002838	0.155902514449133	0.9354031211742223	1.0238901347954932	2.2487354523509637	1.019865959944182	2.492711948791928	0.7128044447386178	0.6635943604942457	1.6405516159733515	79.87236522791966
16000	-2970.1129242357765	-3090.917598177916	120.80467394213917	-3090.917598177916	0.003935832712922975	0.0407449157167784	162.9414497618655	0.022037102757235284	0.06725941657380956	55.91613531924307	0.07249804753001758	0.8144365409972593	0.8491496434458954	0.40511016218108103	0.30730572683134477	0.7379971489709145	2.3361182507609892	0.5519512218964725	4.676424776869162	42.04452478906587
