t,I0,I1,I2,S
0.0,1.0,0.01,0.01,3000.0
0.05,1.0084461056221854,0.05990279515585748,0.009915345778645732,2999.9414180657664
0.1,1.0170370796740185,0.10979217623141341,0.010183817515061507,2999.882348578185
0.15000000000000002,1.0257756520925236,0.15967554057630207,0.010793656992389147,2999.822782057484
0.2,1.0346645338052634,0.20956035610834114,0.011733547433269273,2999.762708900054
0.25,1.0437064186097547,0.25945415979566355,0.012992599376194642,2999.7021193783125
0.3,1.0529039850031314,0.30936455624446585,0.014560337009139376,2999.6410036404986
0.35,1.0622598979638003,0.3592992163890151,0.016426684946055776,2999.5793517104003
0.39999999999999997,1.071776810686781,0.40926587628066957,0.01858195543228417,2999.5171534870174
0.44999999999999996,1.0814573662743743,0.45927233597278144,0.0210168359653609,2999.45439874416
0.49999999999999994,1.09130419938374,0.5093264584984566,0.023722377318135236,2999.391077129984
0.5499999999999999,1.101319937832933,0.5594361689382509,0.02668998195151861,2999.327178166467
0.6,1.1115072041668796,0.6096094535749845,0.029911392804588884,2999.262691248824
0.65,1.1218686171847443,0.6598543591329521,0.03337868245015954,2999.1976056448634
0.7000000000000001,1.1324067934300832,0.7101789920989017,0.037084242604298365,2999.1319104942872
0.7500000000000001,1.1431243486451417,0.7605915181222479,0.04102077397864342,2999.0655948079357
0.8000000000000002,1.1540238991906087,0.8111001614920724,0.04518127646471571,2998.998647466975
0.8500000000000002,1.1651080634321,0.8617132046885504,0.04955903963976869,2998.9310572220334
0.9000000000000002,1.1763794630946034,0.9124389880065258,0.0541476335840447,2998.862812692284
0.9500000000000003,1.1878407245860794,0.9632859092490377,0.05894089999962811,2998.7939023644744
1.0000000000000002,1.1994944802913754,1.0142624234886781,0.06393294362139448,2998.724314591908
1.0500000000000003,1.2113433698375724,1.065377042894737,0.06911812391085506,2998.654037593373
1.1000000000000003,1.223390041331852,1.1166383366241621,0.07449104702398635,2998.583059452025
1.1500000000000004,1.2356371525729333,1.168054930774435,0.08004655804441575,2998.5113681142193
1.2000000000000004,1.2480873722371009,1.2196355083965262,0.08577973347360729,2998.438951388298
1.2500000000000004,1.2607433810398085,1.2713888095661667,0.09168587396995469,2998.365796943328
1.3000000000000005,1.2736078728738174,1.3233236315117312,0.09776049732894547,2998.291892307796
1.3500000000000005,1.2866835559247929,1.3754488287970896,0.1039993316968071,2998.217224868256
1.4000000000000006,1.2999731537652583,1.4277733135578512,0.11039830901028609,2998.141781867935
1.4500000000000006,1.3134794064277746,1.4803060557894696,0.11695355865544357,2998.0655504052934
1.5000000000000007,1.3272050714581878,1.5330560836857487,0.1236614013385757,2997.9885174325404
1.5500000000000007,1.3411529249497591,1.586032484026331,0.13051834316258554,2997.910669754113
1.6000000000000008,1.3553257625589692,1.6392444026118085,0.13752106990234395,2997.8319940251054
1.6500000000000008,1.3697264005037584,1.6927010447451463,0.1446664414727819,2997.7524767496634
1.7000000000000008,1.384357676544948,1.7464116757581558,0.15195148658365443,2997.672104279334
1.7500000000000009,1.3992224509515554,1.8003856215818044,0.15937339757510866,2997.5908628113757
1.800000000000001,1.4143236074507024,1.8546322693591923,0.16692952542837397,2997.50873838703
1.850000000000001,1.429664054162786,1.9091610681000732,0.17461737494607263,2997.4257168897516
1.900000000000001,1.4452467245225646,1.9639815293758358,0.18243460009682344,2997.3417840434004
1.950000000000001,1.4610745781867907,2.0191032280539076,0.19037899951897985,2997.2569254103955
2.000000000000001,1.4771506019289995,2.0745358030705816,0.19844851217850798,2997.1711263898296
2.0500000000000007,1.4934778105220459,2.1302889582413003,0.20664121317616768,2997.0843722155464
2.1000000000000005,1.510059247608961,2.1863724631074795,0.21495530969931423,2996.996647954179
2.1500000000000004,1.5268979865626822,2.2427961538189787,0.22338913711378605,2996.9079385031528
2.2,1.5439971313351935,2.2995699340513673,0.23194115519148856,2996.81822858865
2.25,1.5613598172965935,2.3567037759571687,0.2406099444694229,2996.727502763539
2.3,1.5789892120645928,2.414207721150291,0.24939420273604446,2996.635745405265
2.3499999999999996,1.5968885163249278,2.472091881722895,0.25829274164096566,2996.542940713705
2.3999999999999995,1.6150609646431584,2.5303664412939715,0.26730448342414564,2996.449072708989
2.4499999999999993,1.633509826268304,2.5890416560889316,0.27642845776083075,2996.3541252292835
2.499999999999999,1.652238405928758,2.648127856049545,0.2856637987186298,2996.2580819285376
2.549999999999999,1.6712500446209022,2.707635445973586,0.2950097418232224,2996.1609262741986
2.5999999999999988,1.6905481203908348,2.767574906683571,0.30446562122931087,2996.062641544887
2.6499999999999986,1.7101360491096051,2.8279567962240058,0.3140308669935331,2995.9632108280402
2.6999999999999984,1.7300172852423388,2.88879175108657,0.3237050024461606,2995.86261701752
2.7499999999999982,1.7501953226116234,2.9500904874627096,0.3334876416585037,2995.760842811184
2.799999999999998,1.7706736951555098,3.0118638025231097,0.3433784870030482,2995.6578707084254
